channel_id,user_id,joined_at
C_general,U_aaron,2025-01-20T10:00:00-08:00
C_general,U_tom,2025-01-20T10:00:00-08:00
C_general,U_raj,2025-02-01T10:00:00-08:00
C_general,U_maya,2026-12-15T10:00:00-07:00
C_general,U_bot,2025-01-20T10:00:00-08:00
C_tournament,U_aaron,2026-11-15T09:00:00-07:00
C_tournament,U_tom,2026-11-15T09:00:00-07:00
C_tournament,U_raj,2026-11-15T09:00:00-07:00
C_tournament,U_maya,2026-12-15T10:00:00-07:00
C_equipment,U_aaron,2025-12-01T10:00:00-08:00
C_equipment,U_tom,2025-12-01T10:00:00-08:00
C_equipment,U_raj,2025-12-01T10:00:00-08:00
C_instructors,U_aaron,2025-01-20T10:00:00-08:00
C_instructors,U_tom,2025-01-20T10:00:00-08:00
C_instructors,U_raj,2025-02-01T10:00:00-08:00
C_random,U_aaron,2025-01-20T10:00:00-08:00
C_random,U_tom,2025-01-20T10:00:00-08:00
C_random,U_raj,2025-02-01T10:00:00-08:00
C_random,U_maya,2026-12-15T10:00:00-07:00
C_random,U_bot,2025-01-20T10:00:00-08:00
